"pid","popgrp","mar","rel","geo2011","ppincome","hhsizer","age","anni_convivenza","anni_istruzione"
640576,2,1,2,2,29376,2,38,5,16
731651,1,1,1,1,399.648742675781,4,46,15,9.5
305961,1,1,2,1,399.648742675781,4,39,13,9.5
401698,1,2,2,1,2651.900390625,7,25,8,10
755010,1,1,2,1,2651.900390625,7,68,46,7
734074,1,1,2,1,2651.900390625,7,64,46,0
795652,1,2,2,1,2651.900390625,7,29,8,12.5
316119,1,1,2,1,5000,4,50,7,18.5
796156,1,1,2,1,5000,4,35,7,18.5
735370,1,1,6,1,7350,2,58,20,5
501627,1,2,6,1,10141.453125,1,60,25,7
668025,1,2,2,2,2739.1044921875,6,30,1,10.5
309867,1,2,2,2,1333.33333333333,3,30,8,10
729169,1,2,2,2,1333.33333333333,3,33,7,11
319239,2,1,2,2,1095,4,42,12,10
319238,2,1,2,2,1095,4,35,12,9
583059,2,1,2,2,2060,5,37,19,10
323956,2,2,2,2,2060,5,37,20,12
310233,1,1,2,2,835.714285714286,7,54,33,5
302304,1,1,2,2,835.714285714286,7,56,33,5
732611,2,2,2,2,1900,8,45,22,5
322206,2,2,2,2,1900,8,60,22,4
727480,2,2,1,2,2354.81015625,5,62,25,7
306589,1,2,2,2,6750,2,32,2,12.5
704189,1,2,2,2,6750,2,25,2,9
720766,1,2,2,1,1000,2,50,30,7
636985,4,1,2,2,17000,2,76,53,12
653862,4,1,2,2,17000,2,75,53,12
718073,1,1,6,1,502.857142857143,7,68,32,0
776547,1,1,2,1,502.857142857143,7,60,43,6
720668,1,1,6,2,2314.05859375,4,62,8,9.5
301340,1,1,2,2,2314.05859375,4,56,8,9.5
767147,1,2,2,1,1090,2,61,45,3
719469,1,1,2,2,861.67080078125,5,60,9,1
767898,1,1,2,2,861.67080078125,5,49,4,6
312244,1,2,2,1,333.333333333333,3,50,20,4
312245,1,2,6,1,333.333333333333,3,56,20,0
651943,4,1,2,2,22500,4,54,30,15
312023,1,1,2,1,1692.5,8,49,24,0
733939,1,1,2,1,1692.5,8,50,24,7
611437,1,1,3,2,23500,4,51,21,13.5
306027,1,2,2,2,2000,3,31,8,12.5
307338,1,1,3,2,5283.1796875,1,35,5,12.5
591141,2,2,1,3,1128.78369140625,4,40,17,7
323475,2,2,1,3,1128.78369140625,4,35,17,7
408879,1,2,2,1,336,5,20,1,12
408840,1,1,2,1,336,5,18,1,10
679529,1,1,2,2,7752.78662109375,4,43,16,12.5
645837,1,1,2,2,7752.78662109375,4,49,16,13.5
309090,1,2,2,1,1983.33333333333,3,33,13,12
722257,1,2,2,1,1983.33333333333,3,33,9,11
315371,1,1,2,2,4725,4,49,22,16.5
310924,1,1,1,1,2350,2,29,1,10
766197,1,1,6,1,2350,2,24,1,12.5
313782,1,1,6,3,907.729437934028,9,56,31,4
303482,1,2,2,2,2286.53955078125,4,48,31,10
621320,4,1,1,2,24511.9375,2,46,8,13.5
323697,2,1,2,2,2768.52109375,5,49,20,9.5
408644,2,2,2,3,1653.33333333333,3,25,4,8
768045,2,2,2,3,1653.33333333333,3,28,4,8
704285,1,1,6,1,2449.91438802083,6,58,43,5
321865,4,1,2,2,9009.5556640625,2,68,45,12
321830,4,1,1,2,9009.5556640625,2,68,45,9.5
306406,1,1,2,2,2358.0361328125,2,42,7,11
307096,1,1,2,2,800,4,42,10,12
726026,1,2,2,2,1306.25,8,33,9,10.5
315133,1,2,2,2,1755,4,41,2,12
736728,1,1,2,2,2351.18603515625,6,45,3,12.5
770287,1,1,2,2,2351.18603515625,6,47,3,11
410609,2,2,2,2,2750,2,21,1,12
734067,2,1,2,2,5683.33333333333,3,36,5,13.5
323964,2,1,2,2,5683.33333333333,3,31,5,11
310514,2,1,2,2,12500,5,52,25,13.5
318142,2,1,2,2,12500,5,47,25,13.5
305758,1,1,2,1,5248.04443359375,4,39,4,12.5
780613,1,1,2,1,5248.04443359375,4,35,4,12.5
624932,4,1,2,2,1875,4,39,10,10
763538,1,1,2,1,2740,5,66,36,11
782450,1,1,2,1,2740,5,72,36,3
323547,2,1,2,2,2452,5,48,22,13.5
323545,2,1,2,2,2452,5,46,23,8
618407,4,1,2,2,3661.10864257812,2,26,2,12
781439,1,1,6,1,1007.79827008929,7,63,44,0
777183,1,1,6,1,1007.79827008929,7,68,44,3
303237,1,2,2,2,1283.33333333333,3,29,5,13.5
753425,1,2,2,2,1283.33333333333,3,38,4,8
743016,1,2,2,2,433.333333333333,3,26,6,9
501302,1,2,4,2,433.333333333333,3,37,6,8
314999,1,1,2,1,1601.42857142857,7,41,9,9
731078,1,1,2,1,1601.42857142857,7,49,9,11
788994,1,2,1,3,2950.28833007812,2,32,1,11
303659,1,2,1,3,2950.28833007812,2,33,1,12
319265,2,1,2,2,2300,5,41,7,12.5
743414,1,1,2,2,2548.57142857143,7,31,10,8
309288,1,1,6,2,2548.57142857143,7,33,10,11
381297,1,1,2,1,428.571428571429,7,58,40,0
381300,1,1,2,1,428.571428571429,7,65,40,0
310805,1,1,2,1,4539.7900390625,4,60,23,11
304447,1,1,2,1,4539.7900390625,4,59,27,10
309887,1,2,2,2,171.428571428571,7,27,9,10
790790,1,2,2,2,171.428571428571,7,23,9,9
738690,1,2,2,2,3550,3,30,2,10
491459,1,2,2,2,3550,3,24,4,9.5
672225,4,1,2,2,37139.6666666667,3,61,36,13.5
653191,4,1,2,2,37139.6666666667,3,61,36,18.5
793642,1,1,2,2,1907.86572265625,4,38,2,12
307006,1,1,2,2,1907.86572265625,4,50,4,13.5
317950,1,1,2,2,1550,2,31,7,10.5
733215,1,1,2,2,1161.44873046875,4,31,4,11
313611,1,1,2,2,1161.44873046875,4,43,4,9.5
726856,2,1,2,2,1766.66666666667,3,23,1,10
